,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
87,[],,,,,,,,,,,,,,,,,,,,
88,[],,,,,,,,,,,,,,,,,,,,
89,[],,,,,,,,,,,,,,,,,,,,
90,[],,,,,,,,,,,,,,,,,,,,
91,[],,,,,,,,,,,,,,,,,,,,
92,[],,,,,,,,,,,,,,,,,,,,
93,[],,,,,,,,,,,,,,,,,,,,
94,[],,,,,,,,,,,,,,,,,,,,
95,[],,,,,,,,,,,,,,,,,,,,
96,[],,,,,,,,,,,,,,,,,,,,
97,[],,,,,,,,,,,,,,,,,,,,
98,[],,,,,,,,,,,,,,,,,,,,
99,['atl hip hop', 'rap', 'trap'],,,,,,,,,,,,,,,,,,
100,[],,,,,,,,,,,,,,,,,,,,
101,['trap', 'trap soul', 'underground hip hop', 'vapor trap'],,,,,,,,,,,,,,,,,
102,['cali rap'],,,,,,,,,,,,,,,,,,,,
103,['emo rap', 'sad rap'],,,,,,,,,,,,,,,,,,,
104,[],,,,,,,,,,,,,,,,,,,,
105,['afro dancehall', 'afropop', 'azonto', 'azontobeats', 'highlife', 'nigerian hip hop', 'nigerian pop'],,,,,,,,,,,,,,
106,['bow pop', 'cello', 'classify'],,,,,,,,,,,,,,,,,,
107,[],,,,,,,,,,,,,,,,,,,,
108,['kentucky hip hop'],,,,,,,,,,,,,,,,,,,,
109,[],,,,,,,,,,,,,,,,,,,,
110,['dance pop', 'k-pop', 'k-pop girl group', 'pop dance'],,,,,,,,,,,,,,,,,
111,['g funk', 'gangster rap', 'hip hop', 'rap', 'west coast rap'],,,,,,,,,,,,,,,,
112,[],,,,,,,,,,,,,,,,,,,,
113,['russian trance'],,,,,,,,,,,,,,,,,,,,
114,[],,,,,,,,,,,,,,,,,,,,
115,[],,,,,,,,,,,,,,,,,,,,
116,['christian music', 'deep christian rock'],,,,,,,,,,,,,,,,,,,
117,[],,,,,,,,,,,,,,,,,,,,
118,['gangster rap', 'west coast rap'],,,,,,,,,,,,,,,,,,,
119,['early american folk', 'string band', 'traditional country'],,,,,,,,,,,,,,,,,,
120,['kawaii future bass'],,,,,,,,,,,,,,,,,,,,
121,['alternative metal', 'canadian metal', 'canadian rock', 'nu metal', 'post-grunge'],,,,,,,,,,,,,,,,
122,['alternative metal', 'nu metal', 'pop rock', 'post-grunge'],,,,,,,,,,,,,,,,,
123,[],,,,,,,,,,,,,,,,,,,,
124,[],,,,,,,,,,,,,,,,,,,,
125,['alternative metal', 'alternative rock', 'funk metal', 'funk rock', 'nu metal', 'pop rock', 'rap rock', 'reggae fusion', 'rock'],,,,,,,,,,,,
126,['sad rap'],,,,,,,,,,,,,,,,,,,,
127,[],,,,,,,,,,,,,,,,,,,,
128,['alternative metal', 'groove metal', 'melodic metalcore', 'metalcore', 'nu metal', 'rap rock'],,,,,,,,,,,,,,,
129,['album rock', 'classic rock', 'country rock', 'folk rock', 'hard rock', 'mellow gold', 'rock', 'soft rock', 'southern rock'],,,,,,,,,,,,
130,[],,,,,,,,,,,,,,,,,,,,
131,[],,,,,,,,,,,,,,,,,,,,
132,['trival'],,,,,,,,,,,,,,,,,,,,
133,[],,,,,,,,,,,,,,,,,,,,
134,['big room', 'edm', 'electro house', 'electronic trap', 'electropop', 'future bass', 'mashup', 'pop dance', 'pop edm', 'progressive electro house', 'progressive house', 'tropical house'],,,,,,,,,
135,['girl group', 'hip pop', 'r&b', 'urban contemporary'],,,,,,,,,,,,,,,,,
136,[],,,,,,,,,,,,,,,,,,,,
137,['dance pop', 'electropowerpop', 'pop', 'pop punk', 'pop rap', 'post-teen pop'],,,,,,,,,,,,,,,
138,['dark minimal techno'],,,,,,,,,,,,,,,,,,,,
139,['baton rouge rap'],,,,,,,,,,,,,,,,,,,,
140,['g funk', 'hyphy', 'west coast rap'],,,,,,,,,,,,,,,,,,
141,[],,,,,,,,,,,,,,,,,,,,
142,['east coast hip hop', 'electro', 'gangster rap', 'hardcore hip hop', 'hip hop', 'hip house', 'rap'],,,,,,,,,,,,,,
143,[],,,,,,,,,,,,,,,,,,,,
144,['nu metal', 'rap rock'],,,,,,,,,,,,,,,,,,,
145,[],,,,,,,,,,,,,,,,,,,,
146,['new wave pop', 'pop rock'],,,,,,,,,,,,,,,,,,,
147,['anime rock', 'vocaloid'],,,,,,,,,,,,,,,,,,,
148,['oi', 'punk', 'ska'],,,,,,,,,,,,,,,,,,
149,['bubble trance', 'dutch trance', 'trance', 'uplifting trance', 'vocal trance'],,,,,,,,,,,,,,,,
150,[],,,,,,,,,,,,,,,,,,,,
151,['balearic', 'nu disco'],,,,,,,,,,,,,,,,,,,
152,['detroit trap', 'rap', 'southern hip hop', 'trap'],,,,,,,,,,,,,,,,,
153,['broadway'],,,,,,,,,,,,,,,,,,,,
154,['trap soul'],,,,,,,,,,,,,,,,,,,,
155,['dark wave', 'deathrock', 'gothic rock', 'horror punk'],,,,,,,,,,,,,,,,,
156,[],,,,,,,,,,,,,,,,,,,,
157,['environmental'],,,,,,,,,,,,,,,,,,,,
158,['christian alternative rock', 'christian music', 'worship'],,,,,,,,,,,,,,,,,,
159,[],,,,,,,,,,,,,,,,,,,,
160,['boy band', 'dance pop', 'pop', 'post-teen pop'],,,,,,,,,,,,,,,,,
161,['east coast hip hop', 'gangster rap', 'hip hop', 'pop rap', 'queens hip hop', 'rap'],,,,,,,,,,,,,,,
162,['ballroom', 'easy listening'],,,,,,,,,,,,,,,,,,,
163,['dirty south rap', 'pop rap', 'southern hip hop'],,,,,,,,,,,,,,,,,,
164,[],,,,,,,,,,,,,,,,,,,,
165,['canadian indie', 'canadian rock'],,,,,,,,,,,,,,,,,,,
166,['dirty south rap', 'dirty texas rap', 'gangster rap', 'houston rap'],,,,,,,,,,,,,,,,,
167,['dark trap', 'emo rap', 'melodic rap', 'underground hip hop', 'vapor trap'],,,,,,,,,,,,,,,,
168,[],,,,,,,,,,,,,,,,,,,,
169,['miami bass'],,,,,,,,,,,,,,,,,,,,
170,['miami bass'],,,,,,,,,,,,,,,,,,,,
