,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
10266,[],,,,,,,,,,,,,,,,,,,,
10267,[],,,,,,,,,,,,,,,,,,,,
10268,['big room', 'edm', 'progressive electro house', 'progressive house', 'progressive trance', 'trance', 'uplifting trance'],,,,,,,,,,,,,,
10269,[],,,,,,,,,,,,,,,,,,,,
10270,['latin pop', 'mexican pop'],,,,,,,,,,,,,,,,,,,
10271,[],,,,,,,,,,,,,,,,,,,,
10272,['chicago soul', 'classic soul', 'southern soul'],,,,,,,,,,,,,,,,,,
10273,['pub rock'],,,,,,,,,,,,,,,,,,,,
10274,['folkmusik', 'hurdy-gurdy', 'medieval folk', 'nordic folk', 'viking folk'],,,,,,,,,,,,,,,,
10275,[],,,,,,,,,,,,,,,,,,,,
10276,['rhythm and blues', 'southern soul'],,,,,,,,,,,,,,,,,,,
10277,['rhythm and blues', 'southern soul'],,,,,,,,,,,,,,,,,,,
10278,['dancehall', 'lovers rock', 'old school dancehall', 'reggae', 'roots reggae'],,,,,,,,,,,,,,,,
10279,['bandinhas', 'sertanejo', 'sertanejo pop', 'sertanejo universitario'],,,,,,,,,,,,,,,,,
10280,['chanson', 'french pop'],,,,,,,,,,,,,,,,,,,
10281,['contemporary country', 'country'],,,,,,,,,,,,,,,,,,,
10282,['country', 'oklahoma country'],,,,,,,,,,,,,,,,,,,
10283,['contrabass'],,,,,,,,,,,,,,,,,,,,
10284,['contemporary country', 'country', 'country road', 'country rock', 'modern country rock'],,,,,,,,,,,,,,,,
10285,[],,,,,,,,,,,,,,,,,,,,
10286,['indie jazz', 'jazz funk', 'jazz saxophone', 'soul jazz'],,,,,,,,,,,,,,,,,
10287,['afrofuturism', 'spiritual jazz'],,,,,,,,,,,,,,,,,,,
10288,[],,,,,,,,,,,,,,,,,,,,
10289,['bebop', 'contemporary jazz', 'contemporary post-bop', 'cool jazz', 'ecm-style jazz', 'jazz', 'jazz fusion', 'jazz vibraphone'],,,,,,,,,,,,,
10290,['blues rock', 'electric blues', 'funk', 'modern blues', 'modern blues rock', 'rock', 'soul blues', 'texas blues'],,,,,,,,,,,,,
10291,[],,,,,,,,,,,,,,,,,,,,
10292,['432hz'],,,,,,,,,,,,,,,,,,,,
10293,['american classical piano'],,,,,,,,,,,,,,,,,,,,
10294,['tejano'],,,,,,,,,,,,,,,,,,,,
10295,['neo classical metal', 'shred'],,,,,,,,,,,,,,,,,,,
10296,['neo mellow'],,,,,,,,,,,,,,,,,,,,
10297,[],,,,,,,,,,,,,,,,,,,,
10298,[],,,,,,,,,,,,,,,,,,,,
10299,['adult standards', 'brill building pop', 'british invasion', 'bubblegum pop', 'folk rock', 'merseybeat', 'rock-and-roll'],,,,,,,,,,,,,,
10300,['british singer-songwriter'],,,,,,,,,,,,,,,,,,,,
10301,['italian disco'],,,,,,,,,,,,,,,,,,,,
10302,['tech trance'],,,,,,,,,,,,,,,,,,,,
10303,['jazz vibraphone'],,,,,,,,,,,,,,,,,,,,
10304,[],,,,,,,,,,,,,,,,,,,,
10305,['album rock', 'blues rock', 'british blues', 'classic rock', 'electric blues', 'hard rock', 'rock'],,,,,,,,,,,,,,
10306,['classic country pop'],,,,,,,,,,,,,,,,,,,,
10307,[],,,,,,,,,,,,,,,,,,,,
10308,['art rock', 'dance rock', 'new romantic', 'new wave', 'new wave pop', 'permanent wave', 'post-punk', 'synthpop'],,,,,,,,,,,,,
10309,['oklahoma country', 'outlaw country', 'texas country'],,,,,,,,,,,,,,,,,,
10310,['avant-garde jazz', 'contemporary jazz', 'contemporary post-bop', 'ecm-style jazz', 'jazz double bass'],,,,,,,,,,,,,,,,
10311,['adult standards', 'brill building pop', 'bubblegum pop', 'folk rock', 'mellow gold', 'merseybeat', 'rock-and-roll', 'soft rock'],,,,,,,,,,,,,
10312,[],,,,,,,,,,,,,,,,,,,,
10313,['bush ballad'],,,,,,,,,,,,,,,,,,,,
10314,['country', 'country rock', 'outlaw country', 'texas country'],,,,,,,,,,,,,,,,,
10315,['rhythm and blues'],,,,,,,,,,,,,,,,,,,,
10316,[],,,,,,,,,,,,,,,,,,,,
10317,['classic opm', 'opm', 'papuri', 'pinoy praise'],,,,,,,,,,,,,,,,,
10318,[],,,,,,,,,,,,,,,,,,,,
10319,['outsider', 'synth funk'],,,,,,,,,,,,,,,,,,,
10320,['album rock', 'classic rock', 'country rock', 'mellow gold', 'soft rock', 'yacht rock'],,,,,,,,,,,,,,,
10321,[],,,,,,,,,,,,,,,,,,,,
10322,['baroque', 'musica antigua', 'spanish baroque'],,,,,,,,,,,,,,,,,,
10323,[],,,,,,,,,,,,,,,,,,,,
10324,[],,,,,,,,,,,,,,,,,,,,
10325,[],,,,,,,,,,,,,,,,,,,,
10326,[],,,,,,,,,,,,,,,,,,,,
10327,[],,,,,,,,,,,,,,,,,,,,
10328,['classic progressive house', 'hip house', 'rave'],,,,,,,,,,,,,,,,,,
10329,['baton rouge rap', 'pop rap', 'rap', 'southern hip hop', 'trap'],,,,,,,,,,,,,,,,
10330,[],,,,,,,,,,,,,,,,,,,,
10331,[],,,,,,,,,,,,,,,,,,,,
10332,['jazz saxophone', 'latin soundtrack', 'smooth jazz'],,,,,,,,,,,,,,,,,,
10333,['big room', 'edm', 'electro house', 'pop dance', 'pop edm', 'tropical house'],,,,,,,,,,,,,,,
10334,['hindustani vocal', 'indian classical'],,,,,,,,,,,,,,,,,,,
10335,[],,,,,,,,,,,,,,,,,,,,
10336,[],,,,,,,,,,,,,,,,,,,,
10337,[],,,,,,,,,,,,,,,,,,,,
10338,[],,,,,,,,,,,,,,,,,,,,
10339,['acoustic pop', 'neo mellow', 'pop', 'pop rock'],,,,,,,,,,,,,,,,,
10340,[],,,,,,,,,,,,,,,,,,,,
10341,['british soundtrack', 'scorecore', 'soundtrack'],,,,,,,,,,,,,,,,,,
10342,[],,,,,,,,,,,,,,,,,,,,
10343,[],,,,,,,,,,,,,,,,,,,,
10344,[],,,,,,,,,,,,,,,,,,,,
10345,[],,,,,,,,,,,,,,,,,,,,
10346,[],,,,,,,,,,,,,,,,,,,,
10347,['filmi'],,,,,,,,,,,,,,,,,,,,
10348,[],,,,,,,,,,,,,,,,,,,,
10349,[],,,,,,,,,,,,,,,,,,,,
10350,['novelty'],,,,,,,,,,,,,,,,,,,,
10351,['deep disco', 'disco', 'post-disco', 'post-disco soul'],,,,,,,,,,,,,,,,,
10352,['italian disco'],,,,,,,,,,,,,,,,,,,,
10353,[],,,,,,,,,,,,,,,,,,,,
10354,[],,,,,,,,,,,,,,,,,,,,
10355,[],,,,,,,,,,,,,,,,,,,,
10356,[],,,,,,,,,,,,,,,,,,,,
10357,['kleine hoerspiel'],,,,,,,,,,,,,,,,,,,,
10358,[],,,,,,,,,,,,,,,,,,,,
10359,[],,,,,,,,,,,,,,,,,,,,
10360,[],,,,,,,,,,,,,,,,,,,,
10361,['dutch trance'],,,,,,,,,,,,,,,,,,,,
10362,['classic bollywood', 'classic pakistani pop', 'filmi', 'ghazal', 'sufi'],,,,,,,,,,,,,,,,
10363,[],,,,,,,,,,,,,,,,,,,,
10364,[],,,,,,,,,,,,,,,,,,,,
10365,[],,,,,,,,,,,,,,,,,,,,
10366,['dance pop', 'hyphy', 'pop rap', 'rap', 'southern hip hop', 'trap'],,,,,,,,,,,,,,,
10367,[],,,,,,,,,,,,,,,,,,,,
10368,[],,,,,,,,,,,,,,,,,,,,
10369,['bebop', 'big band', 'contemporary post-bop', 'cool jazz', 'hard bop', 'jazz', 'jazz funk', 'jazz saxophone', 'soul jazz', 'stride', 'vocal jazz'],,,,,,,,,,
10370,['adult standards', 'cowboy western', 'oklahoma country', 'traditional country', 'yodeling'],,,,,,,,,,,,,,,,
10371,['brill building pop', 'chicago soul', 'classic soul', 'doo-wop', 'motown', 'northern soul', 'rhythm and blues', 'soul', 'southern soul'],,,,,,,,,,,,
10372,['alternative country', 'baroque pop', 'brill building pop', 'classic uk pop', 'cosmic american', 'country rock', 'folk', 'folk rock', 'psychedelic rock', 'pub rock', 'roots rock', 'singer-songwriter', 'traditional folk'],,,,,,,,
10373,[],,,,,,,,,,,,,,,,,,,,
10374,[],,,,,,,,,,,,,,,,,,,,
10375,[],,,,,,,,,,,,,,,,,,,,
10376,['jazz funk', 'jazz piano', 'soul jazz'],,,,,,,,,,,,,,,,,,
10377,['jazz funk', 'soul jazz'],,,,,,,,,,,,,,,,,,,
10378,[],,,,,,,,,,,,,,,,,,,,
10379,['adult standards', 'lounge', 'vintage hollywood'],,,,,,,,,,,,,,,,,,
10380,['big band', 'jazz drums', 'stride', 'swing'],,,,,,,,,,,,,,,,,
10381,['big band', 'swing'],,,,,,,,,,,,,,,,,,,
10382,[],,,,,,,,,,,,,,,,,,,,
10383,[],,,,,,,,,,,,,,,,,,,,
10384,[],,,,,,,,,,,,,,,,,,,,
10385,['dance rock', 'gothic rock', 'new romantic', 'new wave', 'synthpop', 'welsh rock'],,,,,,,,,,,,,,,
10386,[],,,,,,,,,,,,,,,,,,,,
10387,[],,,,,,,,,,,,,,,,,,,,
10388,[],,,,,,,,,,,,,,,,,,,,
10389,['adult standards', 'brill building pop', 'bubblegum pop', 'classic uk pop', 'folk rock', 'merseybeat', 'rock-and-roll', 'rockabilly'],,,,,,,,,,,,,
10390,[],,,,,,,,,,,,,,,,,,,,
10391,['glam metal', 'hard rock'],,,,,,,,,,,,,,,,,,,
10392,['louisiana blues', 'new orleans blues'],,,,,,,,,,,,,,,,,,,
10393,['rock-and-roll', 'rockabilly'],,,,,,,,,,,,,,,,,,,
10394,['rock-and-roll', 'rockabilly'],,,,,,,,,,,,,,,,,,,
10395,['classic country pop', 'country', 'country rock'],,,,,,,,,,,,,,,,,,
10396,[],,,,,,,,,,,,,,,,,,,,
10397,['latin christian'],,,,,,,,,,,,,,,,,,,,
10398,[],,,,,,,,,,,,,,,,,,,,
10399,['dance rock', 'new romantic', 'new wave', 'synthpop'],,,,,,,,,,,,,,,,,
10400,['glam punk', 'pub rock', 'punk'],,,,,,,,,,,,,,,,,,
10401,['alternative dance', 'chillwave', 'indie pop', 'indie rock', 'indietronica', 'modern rock', 'new orleans indie', 'shimmer pop', 'stomp and holler'],,,,,,,,,,,,
10402,['album rock', 'art rock', 'classic rock', 'mellow gold', 'progressive rock', 'rock', 'soft rock', 'symphonic rock'],,,,,,,,,,,,,
10403,[],,,,,,,,,,,,,,,,,,,,
10404,[],,,,,,,,,,,,,,,,,,,,
10405,[],,,,,,,,,,,,,,,,,,,,
10406,['progressive house', 'progressive trance', 'progressive uplifting trance', 'trance', 'uplifting trance'],,,,,,,,,,,,,,,,
10407,['swing italiano'],,,,,,,,,,,,,,,,,,,,
10408,['hawaiian'],,,,,,,,,,,,,,,,,,,,
10409,['cubaton', 'latin', 'latin hip hop', 'latin pop', 'tropical'],,,,,,,,,,,,,,,,
10410,['album rock', 'art rock', 'jazz fusion', 'progressive rock', 'psychedelic rock', 'symphonic rock', 'zolo'],,,,,,,,,,,,,,
10411,['environmental'],,,,,,,,,,,,,,,,,,,,
10412,[],,,,,,,,,,,,,,,,,,,,
10413,[],,,,,,,,,,,,,,,,,,,,
10414,['pop house'],,,,,,,,,,,,,,,,,,,,
10415,[],,,,,,,,,,,,,,,,,,,,
10416,[],,,,,,,,,,,,,,,,,,,,
10417,[],,,,,,,,,,,,,,,,,,,,
10418,['easy listening', 'theme'],,,,,,,,,,,,,,,,,,,
10419,['christian music', 'deep christian rock'],,,,,,,,,,,,,,,,,,,
10420,['modern power pop'],,,,,,,,,,,,,,,,,,,,
10421,[],,,,,,,,,,,,,,,,,,,,
10422,[],,,,,,,,,,,,,,,,,,,,
10423,['afropop', 'world'],,,,,,,,,,,,,,,,,,,
10424,['art song'],,,,,,,,,,,,,,,,,,,,
10425,[],,,,,,,,,,,,,,,,,,,,
10426,[],,,,,,,,,,,,,,,,,,,,
10427,[],,,,,,,,,,,,,,,,,,,,
10428,['canadian indie', 'canadian singer-songwriter', 'deep new americana', 'vancouver indie'],,,,,,,,,,,,,,,,,
10429,[],,,,,,,,,,,,,,,,,,,,
10430,[],,,,,,,,,,,,,,,,,,,,
10431,['historic classical performance'],,,,,,,,,,,,,,,,,,,,
10432,['baroque', 'classical', 'early music', 'german baroque'],,,,,,,,,,,,,,,,,
10433,['barnmusik', 'swedish jazz'],,,,,,,,,,,,,,,,,,,
10434,[],,,,,,,,,,,,,,,,,,,,
10435,[],,,,,,,,,,,,,,,,,,,,
10436,[],,,,,,,,,,,,,,,,,,,,
10437,[],,,,,,,,,,,,,,,,,,,,
10438,['classic uk pop', 'nederpop'],,,,,,,,,,,,,,,,,,,
10439,['ballet class'],,,,,,,,,,,,,,,,,,,,
10440,[],,,,,,,,,,,,,,,,,,,,
10441,['21st century classical', 'british contemporary classical', 'contemporary classical'],,,,,,,,,,,,,,,,,,
10442,['adult standards', 'disco', 'jazz funk', 'jazz guitar', 'motown', 'quiet storm', 'smooth jazz', 'soft rock', 'soul', 'soul jazz', 'yacht rock'],,,,,,,,,,
10443,[],,,,,,,,,,,,,,,,,,,,
10444,['country gospel'],,,,,,,,,,,,,,,,,,,,
10445,['disney', 'movie tunes'],,,,,,,,,,,,,,,,,,,
10446,['british modern classical', 'early modern classical'],,,,,,,,,,,,,,,,,,,
10447,[],,,,,,,,,,,,,,,,,,,,
10448,['comedy', 'comic'],,,,,,,,,,,,,,,,,,,
10449,[],,,,,,,,,,,,,,,,,,,,
10450,['funk', 'p funk', 'soul'],,,,,,,,,,,,,,,,,,
10451,[],,,,,,,,,,,,,,,,,,,,
10452,['new age piano'],,,,,,,,,,,,,,,,,,,,
10453,['funk', 'jazz funk', 'jazz fusion', 'jazz piano', 'smooth jazz', 'soul jazz'],,,,,,,,,,,,,,,
10454,['classic soundtrack'],,,,,,,,,,,,,,,,,,,,
10455,[],,,,,,,,,,,,,,,,,,,,
10456,['romanian rock'],,,,,,,,,,,,,,,,,,,,
10457,['folk-pop', 'modern rock', 'neo-singer-songwriter', 'pop'],,,,,,,,,,,,,,,,,
10458,['baroque', 'classical', 'early music', 'english baroque', 'german baroque'],,,,,,,,,,,,,,,,
10459,['british soundtrack', 'deep soundtrack', 'scorecore', 'soundtrack'],,,,,,,,,,,,,,,,,
10460,[],,,,,,,,,,,,,,,,,,,,
10461,[],,,,,,,,,,,,,,,,,,,,
10462,['baroque', 'classical', 'early music', 'english baroque', 'german baroque'],,,,,,,,,,,,,,,,
10463,['american modern classical', 'classical', 'early modern classical', 'tin pan alley'],,,,,,,,,,,,,,,,,
10464,[],,,,,,,,,,,,,,,,,,,,
10465,[],,,,,,,,,,,,,,,,,,,,
10466,[],,,,,,,,,,,,,,,,,,,,
10467,['boogaloo'],,,,,,,,,,,,,,,,,,,,
10468,[],,,,,,,,,,,,,,,,,,,,
10469,['traditional country'],,,,,,,,,,,,,,,,,,,,
10470,[],,,,,,,,,,,,,,,,,,,,
10471,['album rock', 'beatlesque', 'classic rock', 'folk rock', 'mellow gold', 'psychedelic rock', 'rock', 'roots rock', 'soft rock'],,,,,,,,,,,,
10472,[],,,,,,,,,,,,,,,,,,,,
10473,['hawaiian'],,,,,,,,,,,,,,,,,,,,
10474,['jazz funk', 'smooth jazz'],,,,,,,,,,,,,,,,,,,
10475,[],,,,,,,,,,,,,,,,,,,,
10476,[],,,,,,,,,,,,,,,,,,,,
10477,['country', 'country rock', 'honky tonk'],,,,,,,,,,,,,,,,,,
10478,[],,,,,,,,,,,,,,,,,,,,
10479,[],,,,,,,,,,,,,,,,,,,,
10480,[],,,,,,,,,,,,,,,,,,,,
10481,[],,,,,,,,,,,,,,,,,,,,
10482,['c-pop', 'cantopop', 'classic cantopop', 'vintage chinese pop'],,,,,,,,,,,,,,,,,
10483,['freestyle'],,,,,,,,,,,,,,,,,,,,
10484,['dixieland', 'jazz clarinet', 'new orleans jazz'],,,,,,,,,,,,,,,,,,
10485,['classical bass', 'opera'],,,,,,,,,,,,,,,,,,,
10486,[],,,,,,,,,,,,,,,,,,,,
10487,['tin pan alley'],,,,,,,,,,,,,,,,,,,,
10488,[],,,,,,,,,,,,,,,,,,,,
10489,['harpsichord'],,,,,,,,,,,,,,,,,,,,
10490,['australian pop'],,,,,,,,,,,,,,,,,,,,
10491,[],,,,,,,,,,,,,,,,,,,,
10492,['disco'],,,,,,,,,,,,,,,,,,,,
10493,[],,,,,,,,,,,,,,,,,,,,
10494,['new wave pop', 'soft rock'],,,,,,,,,,,,,,,,,,,
10495,['traditional country'],,,,,,,,,,,,,,,,,,,,
10496,[],,,,,,,,,,,,,,,,,,,,
10497,[],,,,,,,,,,,,,,,,,,,,
10498,[],,,,,,,,,,,,,,,,,,,,
10499,['cello', 'classical cello'],,,,,,,,,,,,,,,,,,,
10500,['vintage jazz'],,,,,,,,,,,,,,,,,,,,
10501,[],,,,,,,,,,,,,,,,,,,,
10502,['latin tech house'],,,,,,,,,,,,,,,,,,,,
10503,[],,,,,,,,,,,,,,,,,,,,
10504,[],,,,,,,,,,,,,,,,,,,,
10505,['avant-garde jazz', 'bebop', 'cool jazz', 'free jazz'],,,,,,,,,,,,,,,,,
10506,['broadway', 'show tunes'],,,,,,,,,,,,,,,,,,,
10507,[],,,,,,,,,,,,,,,,,,,,
10508,['bebop', 'cool jazz', 'jazz', 'jazz piano', 'stride', 'vocal jazz'],,,,,,,,,,,,,,,
10509,[],,,,,,,,,,,,,,,,,,,,
10510,['contemporary country', 'country', 'country road', 'country rock'],,,,,,,,,,,,,,,,,
10511,['bahamian folk', 'calypso'],,,,,,,,,,,,,,,,,,,
10512,['classical performance', 'historic orchestral performance', 'orchestral performance'],,,,,,,,,,,,,,,,,,
10513,['album rock', 'blues rock', 'classic rock', 'country rock', 'electric blues', 'hard rock', 'heartland rock', 'mellow gold', 'rock'],,,,,,,,,,,,
10514,['album rock', 'blues rock', 'classic rock', 'country rock', 'electric blues', 'hard rock', 'heartland rock', 'mellow gold', 'rock'],,,,,,,,,,,,
10515,['christmas instrumental'],,,,,,,,,,,,,,,,,,,,
10516,[],,,,,,,,,,,,,,,,,,,,
10517,[],,,,,,,,,,,,,,,,,,,,
10518,[],,,,,,,,,,,,,,,,,,,,
10519,[],,,,,,,,,,,,,,,,,,,,
10520,[],,,,,,,,,,,,,,,,,,,,
10521,[],,,,,,,,,,,,,,,,,,,,
10522,[],,,,,,,,,,,,,,,,,,,,
10523,[],,,,,,,,,,,,,,,,,,,,
10524,[],,,,,,,,,,,,,,,,,,,,
10525,['new age', 'new age piano'],,,,,,,,,,,,,,,,,,,
10526,[],,,,,,,,,,,,,,,,,,,,
10527,[],,,,,,,,,,,,,,,,,,,,
10528,[],,,,,,,,,,,,,,,,,,,,
10529,['early modern classical'],,,,,,,,,,,,,,,,,,,,
10530,['classical', 'french opera', 'french romanticism', 'late romantic era'],,,,,,,,,,,,,,,,,
10531,['chanson', 'french pop', 'french rock'],,,,,,,,,,,,,,,,,,
10532,[],,,,,,,,,,,,,,,,,,,,
10533,['classic soundtrack', 'deep soundtrack', 'french soundtrack'],,,,,,,,,,,,,,,,,,
10534,[],,,,,,,,,,,,,,,,,,,,
10535,['french soundtrack'],,,,,,,,,,,,,,,,,,,,
10536,['vintage chanson'],,,,,,,,,,,,,,,,,,,,
10537,['accordeon'],,,,,,,,,,,,,,,,,,,,
10538,[],,,,,,,,,,,,,,,,,,,,
10539,['vintage chanson'],,,,,,,,,,,,,,,,,,,,
10540,[],,,,,,,,,,,,,,,,,,,,
10541,['classical performance', 'opera', 'orchestral performance'],,,,,,,,,,,,,,,,,,
10542,[],,,,,,,,,,,,,,,,,,,,
10543,[],,,,,,,,,,,,,,,,,,,,
10544,[],,,,,,,,,,,,,,,,,,,,
10545,['french opera'],,,,,,,,,,,,,,,,,,,,
10546,[],,,,,,,,,,,,,,,,,,,,
10547,[],,,,,,,,,,,,,,,,,,,,
10548,['australian dance', 'perth indie'],,,,,,,,,,,,,,,,,,,
10549,[],,,,,,,,,,,,,,,,,,,,
10550,['contemporary country', 'country', 'country pop', 'country road', 'modern country rock'],,,,,,,,,,,,,,,,
10551,[],,,,,,,,,,,,,,,,,,,,
10552,['pre-war blues'],,,,,,,,,,,,,,,,,,,,
10553,[],,,,,,,,,,,,,,,,,,,,
10554,['deep adult standards'],,,,,,,,,,,,,,,,,,,,
10555,['uk pop'],,,,,,,,,,,,,,,,,,,,
10556,[],,,,,,,,,,,,,,,,,,,,
10557,[],,,,,,,,,,,,,,,,,,,,
10558,['rebetiko'],,,,,,,,,,,,,,,,,,,,
10559,[],,,,,,,,,,,,,,,,,,,,
10560,[],,,,,,,,,,,,,,,,,,,,
10561,['pre-war blues'],,,,,,,,,,,,,,,,,,,,
10562,[],,,,,,,,,,,,,,,,,,,,
10563,['georgian folk'],,,,,,,,,,,,,,,,,,,,
10564,['british blues', 'british invasion', 'merseybeat'],,,,,,,,,,,,,,,,,,
10565,['british blues', 'british invasion', 'merseybeat'],,,,,,,,,,,,,,,,,,
10566,[],,,,,,,,,,,,,,,,,,,,
10567,[],,,,,,,,,,,,,,,,,,,,
10568,[],,,,,,,,,,,,,,,,,,,,
10569,[],,,,,,,,,,,,,,,,,,,,
10570,[],,,,,,,,,,,,,,,,,,,,
10571,['vintage chanson'],,,,,,,,,,,,,,,,,,,,
10572,['dominican pop', 'latin', 'merengue', 'merengue tipico', 'tropical'],,,,,,,,,,,,,,,,
10573,[],,,,,,,,,,,,,,,,,,,,
10574,['jazz saxophone', 'smooth jazz', 'smooth saxophone'],,,,,,,,,,,,,,,,,,
10575,[],,,,,,,,,,,,,,,,,,,,
10576,[],,,,,,,,,,,,,,,,,,,,
10577,[],,,,,,,,,,,,,,,,,,,,
10578,[],,,,,,,,,,,,,,,,,,,,
10579,['british modern classical', 'early modern classical'],,,,,,,,,,,,,,,,,,,
10580,['space age pop'],,,,,,,,,,,,,,,,,,,,
10581,['funk', 'neo soul', 'new jack swing', 'quiet storm', 'r&b', 'soul', 'urban contemporary'],,,,,,,,,,,,,,
10582,['art song'],,,,,,,,,,,,,,,,,,,,
10583,[],,,,,,,,,,,,,,,,,,,,
10584,[],,,,,,,,,,,,,,,,,,,,
10585,[],,,,,,,,,,,,,,,,,,,,
10586,['deep disco', 'post-disco'],,,,,,,,,,,,,,,,,,,
10587,['bossa nova', 'mpb', 'samba', 'violao'],,,,,,,,,,,,,,,,,
10588,['musica juiz-forana', 'velha guarda'],,,,,,,,,,,,,,,,,,,
10589,['afro psych', 'afrobeat', 'highlife'],,,,,,,,,,,,,,,,,,
10590,[],,,,,,,,,,,,,,,,,,,,
10591,['movie tunes'],,,,,,,,,,,,,,,,,,,,
10592,['chanson', 'french pop'],,,,,,,,,,,,,,,,,,,
10593,[],,,,,,,,,,,,,,,,,,,,
10594,['jazz trumpet'],,,,,,,,,,,,,,,,,,,,
10595,['classical performance', 'orchestral performance'],,,,,,,,,,,,,,,,,,,
10596,['modern rock'],,,,,,,,,,,,,,,,,,,,
10597,['banda', 'corrido', 'norteno', 'nuevo regional mexicano', 'regional mexican', 'sierreno'],,,,,,,,,,,,,,,
10598,[],,,,,,,,,,,,,,,,,,,,
10599,['banda', 'corrido', 'norteno', 'nuevo regional mexicano', 'regional mexican', 'sierreno'],,,,,,,,,,,,,,,
10600,['mariachi', 'ranchera', 'regional mexican'],,,,,,,,,,,,,,,,,,
10601,['gruperas inmortales'],,,,,,,,,,,,,,,,,,,,
10602,[],,,,,,,,,,,,,,,,,,,,
10603,[],,,,,,,,,,,,,,,,,,,,
10604,[],,,,,,,,,,,,,,,,,,,,
10605,[],,,,,,,,,,,,,,,,,,,,
10606,[],,,,,,,,,,,,,,,,,,,,
10607,[],,,,,,,,,,,,,,,,,,,,
10608,[],,,,,,,,,,,,,,,,,,,,
10609,['dark trap', 'emo rap', 'phonk', 'underground hip hop', 'vapor trap'],,,,,,,,,,,,,,,,
10610,['pop romantico'],,,,,,,,,,,,,,,,,,,,
10611,[],,,,,,,,,,,,,,,,,,,,
10612,[],,,,,,,,,,,,,,,,,,,,
10613,['blasmusik', 'brass band', 'brass ensemble'],,,,,,,,,,,,,,,,,,
10614,['latin tech house', 'minimal techno'],,,,,,,,,,,,,,,,,,,
10615,[],,,,,,,,,,,,,,,,,,,,
10616,['chillwave'],,,,,,,,,,,,,,,,,,,,
10617,[],,,,,,,,,,,,,,,,,,,,
10618,['banda', 'corrido', 'nuevo regional mexicano', 'regional mexican'],,,,,,,,,,,,,,,,,
10619,['bolero mexicano'],,,,,,,,,,,,,,,,,,,,
10620,[],,,,,,,,,,,,,,,,,,,,
10621,['adult standards', 'brill building pop', 'british invasion', 'bubblegum pop', 'classic uk pop', 'folk rock', 'merseybeat', 'rock-and-roll'],,,,,,,,,,,,,
10622,['bebop', 'big band', 'contemporary post-bop', 'cool jazz', 'hard bop', 'jazz', 'jazz saxophone', 'soul jazz', 'swing', 'vocal jazz'],,,,,,,,,,,
10623,[],,,,,,,,,,,,,,,,,,,,
10624,['bebop', 'cool jazz', 'hard bop', 'jazz', 'jazz quartet'],,,,,,,,,,,,,,,,
10625,['cool jazz'],,,,,,,,,,,,,,,,,,,,
10626,[],,,,,,,,,,,,,,,,,,,,
10627,['album rock', 'art rock', 'classic rock', 'classic uk pop', 'country rock', 'folk', 'folk rock', 'mellow gold', 'soft rock'],,,,,,,,,,,,
10628,[],,,,,,,,,,,,,,,,,,,,
10629,[],,,,,,,,,,,,,,,,,,,,
10630,['poetry'],,,,,,,,,,,,,,,,,,,,
10631,['dark clubbing', 'destroy techno', 'electro house'],,,,,,,,,,,,,,,,,,
10632,[],,,,,,,,,,,,,,,,,,,,
10633,[],,,,,,,,,,,,,,,,,,,,
10634,['modern rock', 'rock', 'screamo'],,,,,,,,,,,,,,,,,,
10635,['conscious hip hop', 'dirty south rap', 'g funk', 'gangster rap', 'hardcore hip hop', 'hip hop', 'old school hip hop', 'rap', 'southern hip hop'],,,,,,,,,,,,
10636,['classical performance', 'german orchestra', 'orchestra'],,,,,,,,,,,,,,,,,,
10637,[],,,,,,,,,,,,,,,,,,,,
10638,['deep indian pop', 'filmi'],,,,,,,,,,,,,,,,,,,
10639,['italian hip hop', 'rap napoletano'],,,,,,,,,,,,,,,,,,,
10640,['easy listening', 'panpipe', 'romanian folk'],,,,,,,,,,,,,,,,,,
10641,[],,,,,,,,,,,,,,,,,,,,
10642,['atl hip hop', 'dirty texas rap'],,,,,,,,,,,,,,,,,,,
10643,[],,,,,,,,,,,,,,,,,,,,
10644,[],,,,,,,,,,,,,,,,,,,,
10645,['dark trap', 'florida rap'],,,,,,,,,,,,,,,,,,,
10646,['gauze pop', 'vapor soul'],,,,,,,,,,,,,,,,,,,
10647,['trancecore'],,,,,,,,,,,,,,,,,,,,
10648,[],,,,,,,,,,,,,,,,,,,,
10649,[],,,,,,,,,,,,,,,,,,,,
10650,['dark trap', 'florida rap'],,,,,,,,,,,,,,,,,,,
10651,[],,,,,,,,,,,,,,,,,,,,
10652,['alternative hip hop', 'east coast hip hop', 'gangster rap', 'hardcore hip hop', 'hip hop', 'rap', 'southern hip hop'],,,,,,,,,,,,,,
10653,['alternative dance', 'dance-punk', 'indietronica', 'new rave'],,,,,,,,,,,,,,,,,
10654,[],,,,,,,,,,,,,,,,,,,,
10655,[],,,,,,,,,,,,,,,,,,,,
10656,[],,,,,,,,,,,,,,,,,,,,
10657,['italian tenor'],,,,,,,,,,,,,,,,,,,,
10658,['early romantic era', 'french opera', 'german opera', 'german romanticism'],,,,,,,,,,,,,,,,,
10659,['classical', 'italian opera', 'italian romanticism', 'post-romantic era'],,,,,,,,,,,,,,,,,
10660,['canzone napoletana', 'vintage italian pop'],,,,,,,,,,,,,,,,,,,
10661,['italian bass'],,,,,,,,,,,,,,,,,,,,
